brand_norm,model_norm,issue_type,n
tesla,modelx,dealer_platform_trust,53
tesla,modelx,reliability_maintenance,39
tesla,models,reliability_maintenance,36
byd,qin_plus,reliability_maintenance,33
xpeng,g6,reliability_maintenance,33
tesla,models,dealer_platform_trust,30
nio,es6,dealer_platform_trust,29
tesla,modely,dealer_platform_trust,26
byd,qin_plus,dealer_platform_trust,25
xiaomi,su7,general_feedback,25
li,l7,general_feedback,24
li,l9,reliability_maintenance,23
tesla,modely,reliability_maintenance,23
byd,qin_plus,general_feedback,22
tesla,model3,dealer_platform_trust,22
li,l8,reliability_maintenance,21
toyota,rav4,reliability_maintenance,21
xpeng,g6,dealer_platform_trust,21
li,l8,general_feedback,20
xpeng,g6,general_feedback,20
xpeng,g6,safety_accident,20
byd,song_plus,reliability_maintenance,18
xpeng,p7,general_feedback,18
li,l6,general_feedback,17
nio,ec6,general_feedback,17
toyota,camry,reliability_maintenance,17
xpeng,p5,general_feedback,17
tesla,models,general_feedback,16
xpeng,p7,reliability_maintenance,16
byd,dolphin,dealer_platform_trust,15
byd,han,dealer_platform_trust,15
byd,qin_plus,safety_accident,15
nio,es8,reliability_maintenance,15
byd,dolphin,reliability_maintenance,14
byd,song_plus,dealer_platform_trust,14
li,l6,safety_accident,14
nio,et5,reliability_maintenance,14
tesla,model3,reliability_maintenance,14
tesla,models,safety_accident,14
tesla,modely,general_feedback,14
xpeng,p7,dealer_platform_trust,14
byd,seal,dealer_platform_trust,13
honda,xrv,general_feedback,13
li,l9,general_feedback,13
nio,es8,general_feedback,13
vw,tiguan,reliability_maintenance,13
byd,qin_plus,battery_range,12
nio,ec6,safety_accident,12
nio,es6,battery_range,12
nio,et5,general_feedback,12
toyota,corolla,reliability_maintenance,12
xpeng,p7,safety_accident,12
byd,dolphin,general_feedback,11
byd,han,general_feedback,11
byd,tang,reliability_maintenance,11
nio,es6,reliability_maintenance,11
tesla,modelx,general_feedback,11
toyota,rav4,general_feedback,11
vw,lavida,general_feedback,11
xiaomi,su7,dealer_platform_trust,11
xiaomi,su7,reliability_maintenance,11
xpeng,g9,general_feedback,11
byd,song_plus,safety_accident,10
honda,xrv,reliability_maintenance,10
li,l6,reliability_maintenance,10
li,l9,safety_accident,10
nio,es6,safety_accident,10
nio,et5,dealer_platform_trust,10
vw,sagitar,general_feedback,10
honda,civic,general_feedback,9
li,l6,dealer_platform_trust,9
byd,han,reliability_maintenance,8
nio,es6,general_feedback,8
nio,es8,dealer_platform_trust,8
nio,et5,battery_range,8
tesla,model3,battery_range,8
tesla,modely,safety_accident,8
xpeng,p5,reliability_maintenance,8
byd,tang,general_feedback,7
li,l7,reliability_maintenance,7
nio,ec6,dealer_platform_trust,7
xiaomi,su7,safety_accident,7
xpeng,g6,price_value,7
byd,dolphin,safety_accident,6
honda,crv,dealer_platform_trust,6
honda,crv,reliability_maintenance,6
li,l7,safety_accident,6
li,l9,dealer_platform_trust,6
nio,et5,safety_accident,6
tesla,model3,safety_accident,6
toyota,corolla,safety_accident,6
vw,passat,general_feedback,6
vw,tiguan,dealer_platform_trust,6
xpeng,g9,dealer_platform_trust,6
xpeng,g9,reliability_maintenance,6
xpeng,g9,safety_accident,6
byd,seal,reliability_maintenance,5
honda,civic,reliability_maintenance,5
honda,crv,safety_accident,5
honda,xrv,safety_accident,5
nio,ec6,reliability_maintenance,5
nio,es8,battery_range,5
nio,es8,safety_accident,5
tesla,model3,general_feedback,5
tesla,modelx,safety_accident,5
toyota,corolla,general_feedback,5
toyota,rav4,comfort_interior,5
toyota,rav4,safety_accident,5
xiaomi,su7,comfort_interior,5
xiaomi,su7,performance_driving,5
xiaomi,su7,price_value,5
xpeng,p7,battery_range,5
xpeng,p7,performance_driving,5
xpeng,p7,software_infotainment,5
byd,han,safety_accident,4
byd,qin_plus,price_value,4
byd,song_plus,software_infotainment,4
honda,crv,general_feedback,4
li,l8,safety_accident,4
nio,ec6,battery_range,4
tesla,model3,performance_driving,4
toyota,camry,dealer_platform_trust,4
toyota,corolla,dealer_platform_trust,4
toyota,rav4,dealer_platform_trust,4
xpeng,g6,comfort_interior,4
xpeng,p5,safety_accident,4
byd,qin_plus,performance_driving,3
byd,seal,general_feedback,3
byd,seal,safety_accident,3
byd,song_plus,general_feedback,3
byd,tang,dealer_platform_trust,3
honda,accord,general_feedback,3
honda,civic,price_value,3
honda,crv,price_value,3
honda,xrv,dealer_platform_trust,3
honda,xrv,performance_driving,3
li,l6,comfort_interior,3
li,l7,dealer_platform_trust,3
nio,es6,comfort_interior,3
nio,es8,comfort_interior,3
nio,es8,performance_driving,3
tesla,models,software_infotainment,3
tesla,modelx,comfort_interior,3
tesla,modely,battery_range,3
vw,tiguan,general_feedback,3
xiaomi,su7,battery_range,3
xpeng,g6,battery_range,3
xpeng,p5,comfort_interior,3
byd,qin_plus,comfort_interior,2
byd,qin_plus,usedcar_transaction,2
byd,seal,comfort_interior,2
byd,seal,price_value,2
byd,song_plus,performance_driving,2
honda,accord,reliability_maintenance,2
honda,crv,usedcar_transaction,2
honda,xrv,price_value,2
li,l6,battery_range,2
li,l6,price_value,2
li,l7,battery_range,2
li,l7,price_value,2
li,l7,software_infotainment,2
li,l8,dealer_platform_trust,2
li,l9,performance_driving,2
li,l9,software_infotainment,2
nio,ec6,comfort_interior,2
nio,es6,price_value,2
nio,es8,price_value,2
nio,es8,software_infotainment,2
tesla,model3,comfort_interior,2
tesla,models,battery_range,2
tesla,modelx,battery_range,2
toyota,camry,general_feedback,2
toyota,camry,safety_accident,2
toyota,corolla,usedcar_transaction,2
toyota,rav4,software_infotainment,2
vw,lavida,reliability_maintenance,2
xiaomi,su7,software_infotainment,2
xpeng,g6,performance_driving,2
xpeng,g9,price_value,2
xpeng,g9,software_infotainment,2
xpeng,p5,battery_range,2
xpeng,p5,dealer_platform_trust,2
byd,han,battery_range,1
byd,han,comfort_interior,1
byd,han,price_value,1
byd,qin_plus,software_infotainment,1
byd,seal,performance_driving,1
byd,seal,resale_depreciation,1
byd,song_plus,battery_range,1
byd,tang,safety_accident,1
byd,tang,software_infotainment,1
honda,accord,price_value,1
honda,crv,comfort_interior,1
honda,crv,performance_driving,1
honda,crv,software_infotainment,1
honda,xrv,software_infotainment,1
li,l7,comfort_interior,1
li,l9,battery_range,1
li,l9,comfort_interior,1
li,l9,price_value,1
